CÓDIGO RENIPRESS,lat,lon
00035677,-6.2301547,-77.8708478
00034978,-6.22657109,-77.87143789
00033946,-6.2301547,-77.8708478
00033947,-6.22629379,-77.87297747
00033944,-6.2301547,-77.8708478
00031783,-6.22965477,-77.86853762
00028528,-6.22990406,-77.87527881
00020196,-6.225749,-77.867544
00028137,-6.2301547,-77.8708478
00030148,-6.22786162,-77.86562822
00027978,-6.2301547,-77.8708478
00026835,-6.2301547,-77.8708478
00025109,-6.22172661,-77.87326633
00025653,-6.229026,-77.8750611
00030298,-6.23066931,-77.8776928
00030297,-6.21724665,-77.86605469
00012897,-6.23005086,-77.86747828
00007039,-6.232285,-77.85838333
00006754,-6.22779333,-77.87931833
00028969,-6.2301547,-77.8708478
00004856,-6.835975,-78.01989167
00007072,-6.09743575,-77.80881486
00007067,-6.94001,-77.78264
00007176,-6.516667,-77.4
00004952,-6.48263697,-77.81929236
00004904,-6.57131833,-77.826915
00004891,-6.37534167,-77.89940667
00004881,-6.22852068,-77.73144253
00032359,-5.64073212,-78.5311468
00027437,-5.6312584,-78.5455741
00007010,-5.5074241,-78.44629382
00005060,-5.44720018,-78.48675871
00005059,-5.33835873,-78.4546586
00005055,-5.45976793,-78.45834617
00007009,-5.30635244,-78.42946336
00007005,-5.66177651,-78.36044303
00024197,-5.0729051,-78.33168264
00005082,-4.93741394,-78.33730804
00007231,-5.09401363,-78.35811848
00005046,-5.55421599,-78.48168473
00005050,-5.61956241,-78.40155231
00009679,-5.84,-77.87
00004919,-6.01546751,-77.95452493
00004932,-5.82481484,-77.96734866
00031044,-5.94575303,-77.98004251
00028138,-5.94417449,-77.97824879
00004923,-5.94356629,-77.97722101
00007052,-6.06772986,-77.89589449
00007378,-5.73348047,-77.92651367
00005160,-4.7673381,-77.8959206
00028370,-4.70939522,-78.04959542
00028148,-4.59882421,-77.86804753
00005169,-4.40234333,-78.41110833
00023141,-3.93675,-78.18466667
00024195,-4.4312023,-77.63767462
00005185,-3.33967804,-77.8776449
00007728,-3.63926546,-77.77069513
00007333,-6.18356333,-78.32551833
00004931,-6.08732337,-78.17924974
00004864,-6.23962333,-77.95612833
00007332,-6.18182333,-77.98355833
00004844,-6.27448016,-78.17132537
00004852,-6.10288,-77.96173
00009844,-6.04664734,-78.15191625
00004890,-6.48001743,-77.92065297
00031405,-6.3957763,-77.48090593
00028420,-6.39536864,-77.47929073
00027302,-6.39573617,-77.48128739
00004950,-6.39564667,-77.47855167
00007445,-6.41994341,-77.555558
00034640,-6.4978964,-77.4988097
00004945,-6.38657963,-77.50338312
00011723,-6.51851744,-77.24500802
00034123,-5.7542539,-78.4395535
00032178,-5.75960627,-78.43934761
00031895,-5.75115604,-78.44684756
00014078,-5.86183873,-78.44751476
00007363,-5.89852715,-78.33918968
00018106,-5.75691735,-78.4404681
00006662,-5.73341656,-78.26137972
00007258,-5.72885419,-78.33307059
00005109,-5.85813167,-78.17107667
00007205,-5.70858109,-78.34555677
00005144,-5.83755138,-78.24501087
00005141,-5.90204093,-78.16015572
00009273,-9.526908,-77.522829
00001545,-9.60071833,-77.49385167
00001748,-9.72469324,-77.82058123
00001569,-9.49382905,-77.57355471
00001577,-9.43785757,-77.55759983
00001560,-9.52293644,-77.49826549
00012671,-9.51791,-77.53094167
00001583,-9.632983,-77.74258505
00001513,-9.73497333,-77.61464833
00001483,-10.157385,-77.46258667
00001491,-10.24454143,-77.43478846
00001503,-10.33608859,-77.12589238
00001519,-9.30291023,-77.64248572
00001516,-9.27748394,-77.6493849
00001528,-9.35820167,-77.59849
00001536,-9.3282386,-77.55361704
00001538,-9.36416667,-77.57695626
00001523,-9.26969667,-77.67996167
